rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,target_f,amplitude,period_days,phase,avg_queue_length,peak_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,organisation_nps_first_half,organisation_nps_second_half,percent_detractors,percent_passives,percent_promoters,total_cases_arrived,total_cases_closed,arrivals_after_burnin,avg_case_resolution_time_days,percent_cases_closed_last_335,top_class_size,bulk_class_size
1.0,4,hard,10.22,SRTF,6,None,4,,0.25,14.0,0.0,24.86027397260274,71,35.521189861941004,0.9853881278538812,0.965818759936407,7.773662551440329,16.460905349794242,14.536741214057509,17.14876033057851,0.29547325102880656,0.24444444444444444,0.460082304526749,1258,1215,1153,8.417589494523192,0.9627059843885516,0,0
1.0,4,hard,10.22,FCFS,6,None,4,,0.25,14.0,0.0,45.54520547945206,110,6.962882243535965,0.9899543378995435,0.9427662957074722,7.6155143338954465,11.88870151770658,11.661341853035145,10.76923076923077,0.3178752107925801,0.24536256323777403,0.43676222596964587,1258,1186,1153,15.17364929819012,0.9375542064180399,0,0
1.0,4,hard,10.22,FCFS,6,None,3,,0.25,14.0,0.0,71.8082191780822,139,10.66024917291886,0.9913242009132421,0.9122529644268774,7.696707105719238,13.864818024263432,15.733736762481094,7.901234567901233,0.304159445407279,0.2530329289428076,0.44280762564991333,1265,1154,1177,22.935521848021732,0.9056924384027187,0,0
0.5,2,hard,10.22,NPS,6,None,99,,0.25,14.0,0.0,82.28493150684932,147,65.54416199665016,0.9904109589041096,0.8802296964725185,7.917054986020503,22.08760484622554,21.875,20.95959595959596,0.26095060577819196,0.2572227399813607,0.48182665424044735,1219,1073,1118,14.75994942543339,0.8694096601073346,0,0
1.0,4,hard,10.22,NPS_BINNED,6,None,4,0.2,0.25,14.0,0.0,23.64109589041096,69,31.503366717309994,0.9739726027397261,0.9697933227344993,7.781147540983606,16.557377049180328,20.60702875399361,14.51942740286299,0.29098360655737704,0.25245901639344265,0.4565573770491803,1258,1220,1153,8.257008755080125,0.9670424978317432,251,126
0.5,2,hard,10.22,NPS,6,None,90,,0.25,14.0,0.0,276.93150684931504,530,83.35688223031097,0.9940639269406394,0.5775862068965517,7.837177747625509,18.31750339213026,20.050125313283207,13.33333333333333,0.2944369063772049,0.22795115332428764,0.47761194029850745,1276,737,1187,17.807309389966736,0.5636057287278854,0,0
1.0,4,hard,10.22,NPS_BINNED,6,None,3,0.2,0.25,14.0,0.0,45.605479452054794,89,64.39663745549642,0.9926940639269407,0.9517786561264822,7.7865448504983386,16.77740863787376,14.511041009463721,19.29460580912863,0.3023255813953488,0.22757475083056478,0.4700996677740864,1265,1204,1177,8.67595636401825,0.9481733220050977,253,127
1.0,4,hard,10.22,SRTF,6,None,1,,0.25,14.0,0.0,151.96164383561643,286,79.16954292692199,0.9954337899543378,0.760459392945037,7.911542610571737,22.869471413160735,18.609406952965234,26.519337016574585,0.26429341963322545,0.24271844660194175,0.4929881337648328,1219,927,1126,11.151761800130261,0.7557726465364121,0,0
1.0,4,hard,10.22,FCFS,6,None,1,,0.25,14.0,0.0,195.5808219178082,387,30.21223373485741,0.9954337899543378,0.6776045939294504,7.811138014527845,19.249394673123486,19.540229885057474,16.935483870967744,0.29055690072639223,0.22639225181598063,0.4830508474576271,1219,826,1126,60.13418868576983,0.6509769094138543,0,0
1.0,4,hard,10.22,SRTF,6,None,5,,0.25,14.0,0.0,40.12876712328767,76,55.545000460466,0.989041095890411,0.9382113821138212,8.01473136915078,25.043327556325824,23.850085178875634,26.708074534161486,0.25996533795493937,0.2296360485268631,0.5103986135181976,1230,1154,1146,6.251745427282046,0.9336823734729494,0,0
1.0,4,hard,10.22,FCFS,6,None,5,,0.25,14.0,0.0,68.13424657534246,131,10.304873186023945,0.976255707762557,0.8943089430894309,7.866363636363636,21.545454545454547,21.682847896440126,22.61306532663317,0.27,0.24454545454545454,0.48545454545454547,1230,1100,1146,22.232970936478935,0.8865619546247818,0,0
0.5,2,hard,10.22,NPS,6,None,96,,0.25,14.0,0.0,185.84657534246574,369,75.96536422811658,0.9949771689497717,0.7013610888710968,7.80365296803653,17.12328767123288,17.701149425287355,17.41573033707865,0.3105022831050228,0.20776255707762556,0.4817351598173516,1249,876,1148,11.176377934658145,0.6890243902439024,0,0
1.0,4,hard,10.22,LRTF,6,None,3,,0.25,14.0,0.0,130.14520547945204,221,73.40045066093846,0.9885844748858449,0.850592885375494,7.868959107806692,18.95910780669145,20.863309352517984,14.549653579676674,0.27695167286245354,0.25650557620817843,0.46654275092936803,1265,1076,1177,16.924188492973602,0.8402718776550552,0,0
1.0,4,hard,10.22,LRTF,6,None,4,,0.25,14.0,0.0,121.53972602739726,206,77.71223884206839,0.9908675799086757,0.848966613672496,7.73876404494382,14.419475655430707,15.873015873015872,16.33663366336634,0.3052434456928839,0.24531835205992508,0.449438202247191,1258,1068,1153,20.888796262796163,0.8421509106678231,0,0
1.0,4,hard,10.22,SRTF,6,None,6,,0.25,14.0,0.0,51.83287671232877,107,57.46969050846905,0.9817351598173517,0.9155485398579322,7.812931034482759,17.155172413793103,17.833333333333336,18.69747899159664,0.30086206896551726,0.2267241379310345,0.4724137931034483,1267,1160,1183,6.753052346707568,0.9095519864750634,0,0
1.0,4,hard,10.22,SRTF,6,None,7,,0.25,14.0,0.0,28.101369863013698,69,52.9935610213611,0.9648401826484018,0.963984674329502,7.825914149443562,19.236883942766298,18.79815100154083,20.776699029126217,0.2861685214626391,0.23529411764705882,0.4785373608903021,1305,1258,1211,6.721696785381995,0.9611890999174236,0,0
1.0,4,hard,10.22,NPS_BINNED,6,None,5,0.2,0.25,14.0,0.0,48.0986301369863,92,54.34045983622216,0.9808219178082191,0.926829268292683,8.01578947368421,25.526315789473685,24.39862542955326,26.582278481012654,0.2578947368421053,0.22894736842105262,0.5131578947368421,1230,1140,1146,7.061273557120226,0.9214659685863874,246,123
1.0,4,hard,10.22,FCFS,6,None,6,,0.25,14.0,0.0,87.3013698630137,165,12.841641705763651,0.9858447488584474,0.8729281767955801,7.6455696202531644,12.839059674502712,14.352574102964116,6.561679790026248,0.31645569620253167,0.23869801084990958,0.4448462929475588,1267,1106,1183,27.567453633894175,0.863905325443787,0,0
